system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching C:\Users\geo\Documents\GitHub\q-bert\
display  D   display_settings.c:377  _al_score_display_settings       [   0.08948] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08949] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08951] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08952] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08953] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08954] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08955] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08956] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08957] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08958] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08960] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08960] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08962] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08962] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08964] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08964] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08965] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08966] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08967] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08968] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08969] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08970] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08971] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08972] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08973] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08974] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.09008] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09012] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
